Nomor Seri Faktur Pajak,Number,Line Item,Line Amount
010.002-22.84587568,1,"Fee Transaksi BPJS Kesehatan Periode 26 - 28 Februari 2022
Rp 2639091 x 1",2639091.00
010.002-22.84587568,2,"Fee Transaksi Electricity Periode 26 - 28 Februari 2022
Rp 51427227 x 1",51427227.00
010.002-22.84587568,3,"Fee Transaksi Electricity Postpaid Periode 26 - 28 Februari 2022
Rp 7678637 x 1",7678637.00
010.002-22.84587568,4,"Transaksi Paket Data Periode 26 - 28 Februari 2022
Rp 6329881869 x 1",6329881869.00
010.002-22.84587568,5,"Fee Transaksi PDAM Periode 26 - 28 Februari 2022
Rp 3554847 x 1",3554847.00
010.002-22.84587568,6,"Fee Transaksi PGN Periode 26 - 28 Februari 2022
Rp 72637 x 1",72637.00
010.002-22.84587568,7,"Transaksi Pulsa Periode 26 - 28 Februari 2022
Rp 13391869813 x 1",13391869813.00
010.002-22.84587569,1,"Fee Transaksi BPJS Kesehatan Periode 9 - 15 Februari 2022
Rp 4236363 x 1",4236363.00
010.002-22.84587569,2,"Fee Transaksi Electricity Periode 9 - 15 Februari 2022
Rp 76254955 x 1",76254955.00
010.002-22.84587569,3,"Fee Transaksi Electricity Postpaid Periode 9 - 15 Februari 2022
Rp 9434455 x 1",9434455.00
010.002-22.84587569,4,"Transaksi Paket Data Periode 9 - 15 Februari 2022
Rp 8038604618 x 1",8038604618.00
010.002-22.84587569,5,"Fee Transaksi PDAM Periode 9 - 15 Februari 2022
Rp 7479826 x 1",7479826.00
010.002-22.84587569,6,"Fee Transaksi PGN Periode 9 - 15 Februari 2022
Rp 55636 x 1",55636.00
010.002-22.84587569,7,"Transaksi Pulsa Periode 9 - 15 Februari 2022
Rp 18499382195 x 1",18499382195.00
010.002-22.84587570,1,"Fee Transaksi BPJS Kesehatan Periode 21 - 25 Februari 2022
Rp 2640000 x 1",2640000.00
010.002-22.84587570,2,"Fee Transaksi Electricity Periode 21 - 25 Februari 2022
Rp 78663682 x 1",78663682.00
010.002-22.84587570,3,"Fee Transaksi Electricity Postpaid Periode 21 - 25 Februari 2022
Rp 10872000 x 1",10872000.00
010.002-22.84587570,4,"Transaksi Paket Data Periode 21 - 25 Februari 2022
Rp 8311933693 x 1",8311933693.00
010.002-22.84587570,5,"Fee Transaksi PDAM Periode 21 - 25 Februari 2022
Rp 6295128 x 1",6295128.00
010.002-22.84587570,6,"Fee Transaksi PGN Periode 21 - 25 Februari 2022
Rp 40182 x 1",40182.00
