Nomor Seri Faktur Pajak,Nama Pengusaha Kena Pajak,Nama Pembeli Barang Kena Pajak,DPP,PPN,Tanggal Faktur Pajak,Reference Text
010.002-22.84587568, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,19787124121.0,1978712412.0,28/02/2022,0792/INV-STI/02/2022
010.002-22.84587569, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,26635448048.0,2663544805.0,28/02/2022,0807/INV-STI/02/2022
010.002-22.84587570, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,26782654474.0,2678265447.0,28/02/2022,0645/INV-STI/02/2022
010.002-22.84587571, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,23969206851.0,2396920685.0,21/02/2022,0551/INV-STI/02/2022
010.002-22.84587572, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,28371499635.0,2837149963.0,11/02/2022,0833/INV-STI/02/2022
010.002-22.84587573, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,23680004754.0,2368000475.0,11/02/2022,0454/INV-STI/02/2022
010.002-22.84587228, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,18570216381.0,1857021638.0,31/01/2022,0391/INV-STI/01/2022
010.002-22.84587229, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,19884657060.0,1988465706.0,31/01/2022,0390/INV-STI/01/2022
010.002-22.84587230, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,27740347131.0,2774034713.0,26/01/2022,0231/INV-STI/01/2022
010.002-22.84587231, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,24991221838.0,2499122184.0,21/01/2022,0101/INV-STI/01/2022
010.002-22.84587232, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,27284551817.0,2728455182.0,21/01/2022,0100/INV-STI/01/2022
010.002-22.84587233, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,22505601724.0,2250560172.0,11/01/2022,0019/INV-STI/01/2022
010.002-22.84587234, PT SEPULSA TEKNOLOGI INDONESIA,Pembeli Barang Kena Pajak / Penerima Jasa Kena Pajak,22869914765.0,2286991477.0,11/01/2022,0018/INV-STI/01/2022
